#{"t_start": 1552000144.530643, "env_id": "Baxter-v0"}
r,l,t
-7.368482,28,117.619802
-3.558563,18,196.573746
-10.221833,33,320.500151
-8.327483,24,410.639224
-3.941444,15,458.480373
-10.071449,37,578.509326
-4.249599,16,645.741276
-1.543788,8,681.043214
-4.106499,18,751.116559
-4.335169,21,844.251647
-10.008096,36,925.019836
-1.845922,7,961.84277
-7.467075,23,1050.78805
-5.183284,20,1119.620411
-3.229399,13,1174.054862
-2.798986,17,1246.325735
-1.172241,6,1281.317204
-1.140933,6,1309.574052
-6.294453,27,1405.858235
-4.430102,18,1468.195995
-7.101543,19,1540.524839
-5.354686,28,1629.747209
-2.377104,9,1667.949007
-2.545748,13,1728.046628
-4.447493,23,1917.041303
-3.331504,17,2101.192577
-5.456109,17,2258.73036
-0.368445,1,2264.625656
-1.382093,10,2383.675009
-0.340559,3,2422.608835
-3.885814,13,2580.70548
-3.507447,14,2744.417398
-0.197248,1,2766.0643
-0.18895,1,2793.001758
-2.621437,15,2974.440169
-2.852297,14,3148.384279
-6.156988,21,3382.495869
-5.564301,26,3634.33424
-1.064819,6,3734.806155
-5.198187,14,3904.470441
-3.373073,15,4084.33558
-6.61416,30,4406.520776
-0.229057,1,4428.141024
-5.723355,19,4614.070029
-2.418766,14,4777.764926
-0.575454,6,4854.711419
-1.72191,9,4909.894124
-3.210906,17,4976.94247
-6.083021,27,5068.259386
-9.64378,26,5157.435247
-3.562684,13,5214.060688
-5.67137,27,5303.241157
-5.993991,20,5385.685865
-14.909212,54,5510.886559
-5.510243,20,5595.556134
-10.439742,32,5713.753141
-3.536876,16,5782.209634
-5.776219,25,5877.471457
-1.254904,8,5915.72838
-4.582812,16,5987.05686
-2.138376,7,6029.70507
-3.550474,14,6097.02291
-4.330985,15,6164.101015
-2.139804,9,6212.658979
-11.689425,30,6326.219361
-1.96184,14,6387.072539
-5.881012,22,6464.300428
-1.442437,9,6509.785557
-7.020055,23,6599.750399
-28.022362,101,6718.750176
-5.16522,20,6797.230684
-3.508527,13,6855.673231
-7.423512,28,6955.730692
-8.042049,28,7049.047418
-7.526273,22,7132.41564
-1.058504,7,7172.866888
-5.457937,23,7258.691303
-7.771134,26,7351.971604
-1.119328,6,7388.924858
-11.307386,29,7494.667266
-4.054712,18,7565.982877
-4.532163,17,7634.087995
-4.25297,24,7722.299095
-6.832352,28,7814.915896
-2.53875,18,7888.287511
-2.896682,16,7959.504348
-3.343191,22,8050.694916
-3.147563,17,8111.656711
-2.286667,8,8151.283126
-3.7175,20,8214.328158
-3.428136,14,8263.477737
-10.149205,35,8375.615195
-2.702717,14,8431.181967
-6.276595,20,8499.185061
-0.983507,6,8533.425415
-10.617256,44,8672.914801
-2.967507,14,8725.191806
-2.504037,13,8778.573916
-6.214675,30,8881.564802
-2.643472,10,8921.914017
-1.676478,7,8959.036665
-4.2531,17,9024.942722
-3.56178,15,9078.662234
-4.740099,24,9159.604624
-2.002769,9,9203.932674
-3.203598,19,9269.08422
-5.462147,20,9334.678899
-2.72281,12,9378.347633
-3.852922,16,9442.072325
-3.153055,17,9510.199025
-3.188925,17,9579.187427
-3.649812,15,9638.916173
-1.393515,8,9678.203791
-2.526192,8,9713.593032
-1.558719,6,9745.422173
-2.724688,11,9796.777306
-1.009661,4,9820.817917
-2.499804,11,9871.19611
-39.2092,101,9981.256521
-1.967189,10,10032.313966
-5.094006,17,10104.206268
-3.757792,14,10165.028491
-4.142668,13,10222.950499
-1.455214,6,10257.881796
-3.637195,12,10302.992587
-4.078878,13,10355.804137
-2.738732,8,10391.698283
-2.332352,10,10439.027543
-2.782897,12,10490.460698
-1.981425,11,10542.225542
-1.14702,4,10566.372089
-4.012794,14,10623.740825
-2.866827,12,10670.426128
-2.063589,6,10698.497888
-3.81506,13,10753.590945
-2.606453,9,10796.611216
-3.185528,12,10843.067606
-5.126254,19,10915.700406
-2.273309,9,10955.472594
-3.303928,12,11011.360557
-2.055381,8,11048.999703
-1.67051,7,11088.380146
-2.282205,8,11130.700691
-5.370428,19,11207.584176
-5.139577,21,11286.154382
-1.352372,5,11311.838475
-2.35124,10,11353.648475
-3.901392,12,11404.430515
-4.344567,15,11464.754158
-1.936034,9,11505.738898
-1.431883,5,11537.149737
-1.98797,6,11570.372306
-1.803276,6,11599.218914
-7.984832,21,11679.880682
-1.533765,5,11705.797125
-3.364078,16,11766.228505
-2.604195,7,11804.109452
-1.931412,6,11832.772653
-1.917084,6,11868.104278
-1.580691,6,11903.287629
-3.355553,12,11947.74631
-1.926905,7,11978.278845
-1.989138,6,12012.710771
-4.230766,12,12067.269655
